target,gene,dist,log2fc
BCL2L12,SCAF1,24134,-0.03380755837823556
BCL2L13,ATP6V1E1,2110,-0.3677317586429428
BCL2L2,HOMEZ,1006,-0.1776503376364851
BCL6B,RNASEK,10638,-0.09464665190254323
BCL6B,C17orf49,8570,0.09365582649216486
BCL7B,BAZ1B,35724,-0.04994214152431272
BCLAF1,MTFR2,39281,-0.7507984461261789
BECN1,PSME3,8965,0.11796800958535464
BECN1,COA3,34631,-0.02095028738934818
BEND6,DST,469,-0.2028023029326621
BEST1,FTH1,17832,-0.008690524084330827
BET1L,PSMD13,28253,-0.05456628594777598
BEX2,TCEAL9,44864,-0.3640639559756299
BEX4,TCEAL8,40139,-0.04968933910042039
BFAR,PARN,85,-0.10445876515526402
BGLAP,PMF1,29165,-0.9299269552048746
BHLHA15,BRI3,40947,0.08269407830474294
BIRC5,SYNGR2,45641,-0.4797412966038063
BIRC5,TK1,26953,-0.477332282950274
BIVM,ERCC5,46730,-0.27117702266076726
BIVM,TEX30,23726,-0.8833539718305645
BLOC1S1,CD63,21456,-0.043252521592732816
BLOC1S1,GDF11,27211,0.038625681395598105
BLOC1S3,TRAPPC6A,25457,-0.29240731043531787
BLOC1S4,MRFAP1L1,6251,-0.25957177922287755
BLOC1S5,EEF1E1,38206,-0.21405315825648674
BLVRA,COA1,28152,-0.014501347614861031
BMI1,COMMD3,5078,-0.3740482182673
BMP1,REEP4,22948,-0.4023542215986407
BNIP2,GTF2A2,31946,-0.12079455825040772
BOLA1,SF3B4,41862,0.23034879541366082
BOLA3,MTHFD2,38195,-0.08326811841714624
BOLA3,MOB1A,30955,-0.13026112724221525
BOP1,DGAT1,35463,0.5056926819061466
BOP1,HSF1,68,0.39247515114427867
BOP1,SLC52A2,42504,0.19045891233345377
BORA,MZT1,80,-0.8879680735139498
BPNT1,IARS2,25181,-0.3225236073736642
BRCC3,FUNDC2,45436,-0.17210589064463166
BRD1,ZBED4,25881,-0.1866638722521622
BRD4,AKAP8,47315,-0.05661519882086385
BRD8,CDC23,34358,-0.06284062838921788
BRD9,TRIP13,11,-3.1217081822194785
BRF2,RAB11FIP1,49602,-0.29185185879105663
BRI3BP,DHX37,4477,-0.24005814890198485
BRIX1,RAD1,15121,-0.26148373357013494
BRIX1,DNAJC21,14252,0.20391798067423775
BRK1,VHL,26174,-0.16337105988953812
BRMS1L,RALGAPA1,16974,-0.6134510940117753
BROX,AIDA,1730,-0.5365902138257537
BRWD1,HMGN1,28094,-0.15962568043192205
BSCL2,UBXN1,30529,0.01770139240702799
BSCL2,TTC9C,17826,0.011441993591583084
BSCL2,UQCC3,39588,-0.07256231411394806
BSCL2,HNRNPUL2,17776,0.23741404410663675
BSG,CDC34,39842,-0.011329382344787036
BST2,MVB12A,1671,-0.1955034426290021
BTBD2,MKNK2,26339,0.1183046194689931
BTF3L4,TXNDC12,11,-2.168774725223256
BTF3L4,KTI12,22389,-0.004051498247483549
BTK,GLA,17216,-0.009567602310481009
BTK,HNRNPH2,17318,0.16904841582444813
BTK,TIMM8A,41795,-0.14792980316745524
BUB3,HMX3,18408,0.12618705738606742
BUD13,ZPR1,15438,-0.08953221026197376
BUD31,ARPC1B,34384,-0.15205140484014745
BUD31,CPSF4,30298,-0.04499257800771727
C11orf54,MED17,42661,0.11906757760830285
C11orf54,TAF1D,42825,-0.06926277938364078
C11orf68,FIBP,30605,-0.19472398241746683
C11orf68,SART1,42544,-0.19410265322060738
C11orf68,DRAP1,121,-0.6051114787694061
C11orf68,CCDC85B,28464,-0.07373126506279719
C11orf71,REXO2,38848,-0.6006228124747391
C11orf71,RBM7,481,-1.5066853896669832
C12orf4,RAD51AP1,256,-1.4331093693795989
C12orf57,ATN1,18465,0.18956433662835512
