held_out,predictors,variant,context_weights,targets,pds_proxy,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
orion_hek293t,k562+cd4_mix,g05,C,278,0.6566761031607927,0.5222302158273382,0.516294964028777,0.5144064748201439,0.38045065837475595,0.49066041587657727,0.5131577972904834,0.4013669064748202,0.43507194244604325,0.4526843525179856,107.00719424460432
orion_hek293t,k562+cd4_mix,shrunk_g1,A,278,0.6832844193958912,0.5337410071942446,0.5255575539568346,0.5156744604316548,0.3878229750930176,0.49897780559221167,0.5144008553897019,0.5244604316546763,0.4881474820143885,0.47268435251798563,107.5
orion_hek293t,k562+cd4_mix,shrunk_g1,B,278,0.669272524218892,0.5292086330935252,0.5218345323741008,0.5162095323741008,0.38607582075373936,0.4958197408672363,0.5149927879360647,0.5220143884892087,0.4887769784172662,0.47258093525179856,106.49280575539568
orion_hek293t,k562+cd4_mix,shrunk_g1,C,278,0.668090798119627,0.5282014388489209,0.521546762589928,0.5156115107913669,0.382328725038124,0.49495372641821006,0.5143469257673373,0.5232374100719425,0.49223021582733806,0.4719019784172663,107.00719424460432
orion_hek293t,k562+cd4_mix,consensus1,A,278,0.6658831779341869,0.5244604316546763,0.5173201438848921,0.5136106115107913,0.3821373176901865,0.49174406775743323,0.5123239376248216,0.38920863309352516,0.4268705035971223,0.4684712230215828,107.5
orion_hek293t,k562+cd4_mix,consensus1,B,278,0.6513388567124639,0.5249640287769785,0.5180215827338129,0.5133003597122302,0.38447460769194175,0.4924923622936969,0.5121011123720295,0.39791366906474823,0.4366187050359712,0.47374550359712225,106.49280575539568
orion_hek293t,k562+cd4_mix,consensus1,C,278,0.6568059631717009,0.5197122302158274,0.5150899280575539,0.5128642086330936,0.3785470626175811,0.48911784089311366,0.5116244798963507,0.39366906474820146,0.4331115107913669,0.4709127697841726,107.00719424460432
orion_hek293t,k562+cd4_mix,consensus2,A,278,0.6652079058774641,0.5243884892086331,0.5171582733812949,0.5138938848920863,0.3823561719090511,0.4915861885165138,0.5126036478189304,0.3899280575539569,0.42775179856115103,0.47008093525179856,107.5
orion_hek293t,k562+cd4_mix,consensus2,B,278,0.650819416668831,0.5247482014388489,0.5179496402877697,0.5133812949640287,0.3844515048040727,0.49242901962885904,0.5121878283193495,0.39820143884892084,0.43787769784172664,0.4755215827338129,106.49280575539568
orion_hek293t,k562+cd4_mix,consensus2,C,278,0.6559878451029789,0.5194964028776979,0.5150179856115108,0.5127113309352518,0.3782810107931701,0.489062216693986,0.5114697942278451,0.3943165467625899,0.434136690647482,0.4724100719424461,107.00719424460432
orion_hek293t,k562+cd4_mix,shuffled_base,A,278,0.49320832142949894,0.4949640287769785,0.4985611510791368,0.4999820143884891,0.35949340764297977,0.47301310737876384,0.4988028010269572,0.37992805755395687,0.4226618705035971,0.4643615107913669,107.61870503597122
