held_out,target,pds_proxy_A
k562,IFI27L2,0.8888888888888888
k562,IFNAR2,0.7777777777777778
k562,IFNGR2,0.8481481481481481
k562,IL10RB,0.9962962962962963
k562,IREB2,0.7
k562,KDM5A,1.0
k562,KHDRBS1,0.9592592592592593
k562,KHSRP,1.0
k562,KIF2A,0.30000000000000004
k562,KMT2A,0.8925925925925926
k562,LDLR,0.8888888888888888
k562,LENG1,0.937037037037037
k562,LMAN1,0.762962962962963
k562,LMBRD2,0.5074074074074074
k562,LPCAT3,0.9
k562,MAN2A1,0.3481481481481481
k562,MAP2K2,0.274074074074074
k562,MAPK12,0.8148148148148149
k562,MARCKSL1,0.9296296296296296
k562,MBD4,0.09259259259259256
k562,MED13,0.9925925925925926
k562,MED15,0.9
k562,MED25,1.0
k562,MLLT10,0.9481481481481482
k562,MSANTD4,1.0
k562,MSI2,0.8592592592592593
k562,MTA1,1.0
k562,MTF1,1.0
k562,MTHFSD,0.7037037037037037
k562,MTM1,0.9703703703703703
k562,MYD88,0.8851851851851852
k562,MYPOP,0.5666666666666667
k562,MYRF,0.7925925925925926
k562,NABP2,1.0
k562,NAIF1,1.0
k562,NCLN,0.9296296296296296
k562,NFE2L1,0.1333333333333333
k562,NGLY1,1.0
k562,NIPAL3,0.7777777777777778
k562,NIPSNAP3A,0.1518518518518519
k562,NT5DC1,0.8222222222222222
k562,NUP37,1.0
k562,PAN2,1.0
k562,PAPOLA,1.0
k562,PATL1,0.8703703703703703
k562,PCGF1,1.0
k562,PCGF6,1.0
k562,PDCD4,0.3481481481481481
k562,PDE6D,0.8296296296296296
k562,PDK1,0.3222222222222222
k562,PGLS,0.25555555555555554
k562,PHF19,0.437037037037037
k562,PHF23,1.0
k562,PHF8,0.9962962962962963
k562,PI4KB,0.8703703703703703
k562,PIM2,0.9074074074074074
k562,PIN1,0.2666666666666667
k562,PINK1,0.9666666666666667
k562,PKN3,0.7037037037037037
k562,PLAGL2,0.9888888888888889
k562,PLCG1,0.2851851851851852
k562,PNP,0.5592592592592592
k562,POLD4,0.6185185185185185
k562,POR,0.8444444444444444
k562,PPIF,0.7555555555555555
k562,PPIP5K2,0.5259259259259259
k562,PQBP1,1.0
k562,PRDX3,0.9185185185185185
k562,PRKAB2,0.5074074074074074
k562,PRKACA,0.3111111111111111
k562,PRMT2,0.9851851851851852
k562,PRMT6,1.0
k562,PRMT7,1.0
k562,PRNP,0.8111111111111111
k562,PSKH1,0.31481481481481477
k562,PTMS,0.9333333333333333
k562,PTOV1,0.37037037037037035
k562,PYCR1,0.033333333333333326
k562,R3HCC1L,1.0
k562,RAB5A,0.9481481481481482
k562,RABEP2,0.7222222222222222
k562,RBM18,1.0
k562,RBM26,1.0
k562,RBM4B,0.937037037037037
k562,RBM5,1.0
k562,RC3H2,0.9407407407407408
k562,REV1,0.4111111111111111
k562,RFK,0.7777777777777778
k562,RNF10,1.0
k562,RNF141,0.040740740740740744
k562,RNF2,0.9814814814814815
k562,RSRC1,0.9888888888888889
k562,S100A11,0.7222222222222222
k562,SAP30L,0.13703703703703707
k562,SCAF8,1.0
k562,SFXN4,0.274074074074074
k562,SH2D3A,0.07777777777777772
k562,SHPRH,0.737037037037037
k562,SIN3B,1.0
