held_out,arm,target,pds
k562,cis,TARBP2,0.5
k562,cis,TBC1D13,0.5
k562,cis,TBCK,1.0
k562,cis,TEAD4,0.5
k562,cis,TEX2,0.5
k562,cis,TFCP2,0.5
k562,cis,THAP3,0.5
k562,cis,THAP7,0.5
k562,cis,TIMM17B,0.5
k562,cis,TIMM50,0.5
k562,cis,TMCO6,0.5
k562,cis,TMED3,0.5
k562,cis,TMEM147,0.5
k562,cis,TMEM186,0.5
k562,cis,TMEM209,0.5
k562,cis,TMEM41B,0.5
k562,cis,TMF1,0.5
k562,cis,TRAPPC6A,0.5
k562,cis,TRIB3,0.5
