held_out,shape,arm,target,pds,reach,has_neighbour_5kb
k562,t16,base,ZNF641,0.6888888888888889,0.08,False
k562,t16,base,ZNF670,0.4444444444444444,0.029411764705882353,False
k562,t16,base,ZNF714,0.9851851851851852,0.09090909090909091,False
k562,t16,base,ZNF740,0.9851851851851852,0.0,True
k562,t16,base,ZNF768,0.33333333333333337,0.11764705882352941,False
k562,t16,base,ZNF777,0.9,0.1875,False
k562,t16,base,ZNF783,0.1962962962962963,0.06666666666666667,False
k562,t16,base,ZNF784,0.4925925925925926,0.0,True
k562,t16,base,ZNF786,0.007407407407407418,0.0,False
k562,t16,base,ZNF821,0.5518518518518518,0.13513513513513514,False
k562,t16,base,ZRANB3,0.8851851851851852,0.03125,True
k562,t16,cis_replace_5kb,ACLY,0.9962962962962963,0.17391304347826086,True
k562,t16,cis_replace_5kb,ADNP,1.0,0.11650485436893204,False
k562,t16,cis_replace_5kb,AGO1,0.7037037037037037,0.025,False
k562,t16,cis_replace_5kb,AKAP1,0.9074074074074074,0.25,False
k562,t16,cis_replace_5kb,AKIRIN1,0.6851851851851851,0.018518518518518517,False
k562,t16,cis_replace_5kb,AKT2,1.0,0.08461538461538462,False
k562,t16,cis_replace_5kb,ALG12,0.8296296296296296,0.15151515151515152,True
k562,t16,cis_replace_5kb,ANKRD52,0.3407407407407408,0.0,False
k562,t16,cis_replace_5kb,ANKZF1,0.9962962962962963,0.045454545454545456,True
k562,t16,cis_replace_5kb,ANP32B,1.0,0.01990049751243781,False
k562,t16,cis_replace_5kb,AP2A2,0.9666666666666667,0.09523809523809523,False
k562,t16,cis_replace_5kb,API5,1.0,0.06896551724137931,False
k562,t16,cis_replace_5kb,ARL14EP,0.9851851851851852,0.06382978723404255,False
k562,t16,cis_replace_5kb,ASCC2,0.8481481481481481,0.07407407407407407,False
k562,t16,cis_replace_5kb,BCKDK,0.8444444444444444,0.0,False
k562,t16,cis_replace_5kb,BCL6,0.8148148148148149,0.045454545454545456,False
k562,t16,cis_replace_5kb,BCL7C,0.9592592592592593,0.125,True
k562,t16,cis_replace_5kb,BRD1,0.9888888888888889,0.0,False
k562,t16,cis_replace_5kb,BRPF1,1.0,0.03278688524590164,False
k562,t16,cis_replace_5kb,CAND1,0.9037037037037037,0.21153846153846154,False
k562,t16,cis_replace_5kb,CARM1,1.0,0.11475409836065574,False
k562,t16,cis_replace_5kb,CAT,0.7407407407407407,0.0,False
k562,t16,cis_replace_5kb,CCDC112,0.9333333333333333,0.045454545454545456,False
k562,t16,cis_replace_5kb,CDK8,0.8962962962962963,0.07142857142857142,False
k562,t16,cis_replace_5kb,CHD3,0.7740740740740741,0.0625,True
k562,t16,cis_replace_5kb,CHD6,0.9740740740740741,0.046153846153846156,False
k562,t16,cis_replace_5kb,CHKB,0.962962962962963,0.014598540145985401,True
k562,t16,cis_replace_5kb,CLCN6,0.9592592592592593,0.03125,True
k562,t16,cis_replace_5kb,COIL,1.0,0.06666666666666667,False
k562,t16,cis_replace_5kb,COMMD8,0.5074074074074074,0.1111111111111111,False
k562,t16,cis_replace_5kb,COQ10B,0.9962962962962963,0.06896551724137931,False
k562,t16,cis_replace_5kb,CSNK2A1,1.0,0.043478260869565216,False
k562,t16,cis_replace_5kb,CYTH2,0.5407407407407407,0.12,False
k562,t16,cis_replace_5kb,DBF4B,0.3407407407407408,0.038461538461538464,False
k562,t16,cis_replace_5kb,DBN1,0.7703703703703704,0.014492753623188406,False
k562,t16,cis_replace_5kb,DCAF16,0.4222222222222223,0.017543859649122806,True
k562,t16,cis_replace_5kb,DCP2,1.0,0.2578397212543554,False
k562,t16,cis_replace_5kb,DDHD1,0.9888888888888889,0.15555555555555556,False
k562,t16,cis_replace_5kb,DEAF1,0.09999999999999998,0.13636363636363635,False
k562,t16,cis_replace_5kb,DEK,0.9814814814814815,0.10256410256410256,False
k562,t16,cis_replace_5kb,DHRS1,0.9703703703703703,0.23076923076923078,True
k562,t16,cis_replace_5kb,DHX35,1.0,0.0,False
k562,t16,cis_replace_5kb,DLAT,0.7851851851851852,0.0,False
k562,t16,cis_replace_5kb,DMTF1,0.4925925925925926,0.03225806451612903,False
k562,t16,cis_replace_5kb,DNTTIP1,1.0,0.15714285714285714,True
k562,t16,cis_replace_5kb,DRG2,0.8296296296296296,0.4642857142857143,False
k562,t16,cis_replace_5kb,DTNBP1,0.6370370370370371,0.05555555555555555,False
